MUNIC_RES,ANO,POPULACAO
1707405,1992,5130
1707553,1992,4830
1707652,1992,5986
1707702,1992,7463
1708205,1992,17371
1708254,1992,1460
1708304,1992,5184
1709005,1992,14968
1709302,1992,19743
1709500,1992,56268
1710508,1992,7209
1710706,1992,6556
1710904,1992,2847
1711100,1992,3620
1711506,1992,2857
1711803,1992,1933
1711902,1992,2213
1711951,1992,2066
1712009,1992,782
1712405,1992,4230
1712504,1992,2376
1712702,1992,1210
1712801,1992,1967
1713205,1992,19979
1713304,1992,10839
1713601,1992,6603
1713809,1992,2879
1713957,1992,2834
1714203,1992,10413
1714302,1992,6134
1714880,1992,7524
1715002,1992,3097
1715101,1992,2478
1715150,1992,1887
1715259,1992,1573
1715705,1992,3521
1715754,1992,9477
1716109,1992,29789
1716208,1992,11086
1716307,1992,3820
1716505,1992,9268
1716604,1992,9373
1716653,1992,3260
1716703,1992,8683
1717008,1992,4925
1717206,1992,1177
1717503,1992,9016
1717800,1992,5191
1717909,1992,6156
1718006,1992,2114
1718204,1992,44648
1718303,1992,5196
1718402,1992,3502
1718501,1992,2129
1718550,1992,3668
1718659,1992,739
1718709,1992,1558
1718758,1992,7101
1718808,1992,3294
1718840,1992,2808
1718865,1992,3635
1718881,1992,1952
1718907,1992,3888
1719004,1992,1777
1720101,1992,3107
1720150,1992,834
1720200,1992,4618
1720259,1992,2644
1720309,1992,2540
1720499,1992,3748
1720655,1992,6051
1720804,1992,9080
1720853,1992,1772
1720903,1992,11479
1720937,1992,2241
1721000,1992,35304
1721109,1992,5743
1721208,1992,21041
1721307,1992,1198
1722081,1992,9427
1722107,1992,10598
2100055,1992,85791
2100105,1992,4655
2100204,1992,19705
2100303,1992,19552
2100402,1992,19849
2100501,1992,10525
2100600,1992,23587
2100709,1992,19561
2100808,1992,10347
2100907,1992,43992
2100956,1992,34729
2101004,1992,25064
2101103,1992,9365
2101202,1992,99919
2101301,1992,22521
2101400,1992,42655
2101509,1992,13612
2101608,1992,91955
2101707,1992,29734
2101806,1992,9002
2101905,1992,21417
2102002,1992,41397
2102101,1992,27278
2102200,1992,22915
2102309,1992,21342
2102408,1992,12372
2102507,1992,15882
2102606,1992,32939
2102705,1992,22436
2102804,1992,24902
2102903,1992,32776
2103000,1992,148135
2103109,1992,15256
2103208,1992,57079
2103307,1992,111859
2103406,1992,40453
2103505,1992,35565
2103604,1992,69602
2103703,1992,41585
2103802,1992,19797
2103901,1992,7513
2104008,1992,30043
2104057,1992,23558
2104107,1992,12654
2104206,1992,15763
2104305,1992,28975
2104404,1992,16375
2104503,1992,10243
2104602,1992,22875
2104701,1992,5914
2104800,1992,54873
2104909,1992,12334
2105005,1992,20129
2105104,1992,20764
2105203,1992,14763
2105302,1992,283497
2105401,1992,43341
2105500,1992,54501
2105609,1992,15131
2105708,1992,47071
2105807,1992,19281
2105906,1992,13456
2106003,1992,12356
2106102,1992,9539
2106201,1992,9320
2106300,1992,11518
2106409,1992,10658
2106508,1992,18493
2106607,1992,25342
2106706,1992,17165
2106755,1992,14507
2106805,1992,16942
2106904,1992,25805
2107001,1992,19762
2107100,1992,18690
2107209,1992,7619
2107308,1992,4942
2107407,1992,16314
2107506,1992,54482
2107605,1992,15644
2107704,1992,15926
2107803,1992,30773
2107902,1992,22778
2108009,1992,14063
2108108,1992,27066
2108207,1992,50730
2108306,1992,29442
2108405,1992,13509
2108504,1992,31896
2108603,1992,83311
2108702,1992,27644
2108801,1992,19675
2108900,1992,24052
2109007,1992,33140
2109106,1992,42941
2109205,1992,6493
2109304,1992,7819
2109403,1992,18498
2109502,1992,28330
2109601,1992,41885
2109700,1992,5757
2109809,1992,25984
2109908,1992,66190
2110005,1992,118418
2110039,1992,47500
2110104,1992,21144
2110203,1992,21538
2110302,1992,17461
2110401,1992,15196
2110500,1992,28262
2110609,1992,24770
2110708,1992,34727
2110807,1992,6271
2110906,1992,12881
2111003,1992,20272
2111102,1992,25759
2111201,1992,72065
2111300,1992,711464
2111409,1992,25658
2111508,1992,31163
2111607,1992,14264
2111706,1992,18254
2111805,1992,13840
2111904,1992,10416
2112001,1992,6253
2112100,1992,23125
2112209,1992,109577
2112308,1992,36222
2112407,1992,40548
2112506,1992,43412
2112605,1992,23592
2112704,1992,32898
2112803,1992,42042
2112902,1992,50270
2113009,1992,31006
2114007,1992,59320
2200103,1992,5805
2200202,1992,16282
2200251,1992,8181
2200277,1992,4554
2200301,1992,15516
2200400,1992,35331
2200509,1992,16663
2200608,1992,6184
2200707,1992,9929
2200806,1992,4982
2200905,1992,5811
2201002,1992,5511
2201101,1992,12133
2201150,1992,6255
2201200,1992,42576
2201309,1992,4111
2201408,1992,6760
2201507,1992,20895
2201606,1992,11045
2201705,1992,8837
2201804,1992,3898
2201903,1992,18368
2201911,1992,5312
2201929,1992,5008
2201960,1992,8164
2202000,1992,30794
2202026,1992,6187
2202059,1992,7701
2202091,1992,5453
2202109,1992,5859
2202208,1992,63940
2202257,1992,4073
2202307,1992,27339
2202406,1992,10247
2202505,1992,11968
2202604,1992,22619
2202703,1992,27133
2202737,1992,3933
2202752,1992,4242
2202778,1992,6970
2202802,1992,7679
2202851,1992,4264
2202901,1992,25191
2203008,1992,6051
2203107,1992,11172
2203206,1992,12976
2203305,1992,12319
2203354,1992,6143
2203404,1992,5125
2203420,1992,4323
2203453,1992,9071
2203503,1992,15228
2203602,1992,4634
2203701,1992,36349
2203750,1992,4869
2203800,1992,4860
2203909,1992,51916
2204006,1992,5339
2204105,1992,5050
2204204,1992,7140
2204303,1992,9351
2204402,1992,10049
2204501,1992,9676
2204600,1992,3684
2204709,1992,13302
2204808,1992,7618
2204907,1992,7664
2205003,1992,13545
2205102,1992,11071
2205151,1992,5680
2205201,1992,23525
2205250,1992,4137
2205300,1992,4094
2205409,1992,14634
2205508,1992,29728
2205557,1992,5391
2205565,1992,4190
2205607,1992,5646
2205706,1992,28547
2205805,1992,36218
